TICKER,CNAME,ACTDATS,ESTIMATOR,ANALYS,FPI,MEASURE,VALUE,ANNDATS,REVDATS,FPEDATS,ANNDATS_ACT,ACTUAL
AAPL,APPLE COMPUTER,19950419.0,211.0,4299.0,1.0,EPS,0.0435,19950417.0,19950503.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950419.0,94.0,965.0,1.0,EPS,0.04,19950419.0,19950517.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950421.0,100.0,9486.0,1.0,EPS,0.0371,19950421.0,19950712.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950421.0,28.0,1997.0,1.0,EPS,0.0335,19950421.0,19950721.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950421.0,114.0,494.0,1.0,EPS,0.0343,19950421.0,19950822.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950424.0,86.0,585.0,1.0,EPS,0.0299,19950421.0,19950504.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950424.0,206.0,7985.0,1.0,EPS,0.0369,19950424.0,19950608.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950424.0,183.0,4684.0,1.0,EPS,0.0397,19950424.0,19950720.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950424.0,37.0,9236.0,1.0,EPS,0.0357,19950424.0,19950721.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950424.0,189.0,5668.0,1.0,EPS,0.0353,19950424.0,19950807.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950425.0,118.0,1765.0,1.0,EPS,0.0366,19950424.0,19950712.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950425.0,11.0,938.0,1.0,EPS,0.035,19950425.0,19950606.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950426.0,192.0,1830.0,1.0,EPS,0.0396,19950426.0,19950720.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950427.0,863.0,30168.0,1.0,EPS,0.0379,19950427.0,19950721.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950501.0,811.0,4363.0,1.0,EPS,0.0357,19950501.0,19950718.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950501.0,125.0,146.0,1.0,EPS,0.0386,19950501.0,19950720.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950501.0,1388.0,9514.0,1.0,EPS,0.0371,19950501.0,19960513.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950502.0,229.0,31901.0,1.0,EPS,0.0371,19950502.0,19950727.0,19950930,19951018.0,0.0301
AAPL,APPLE COMPUTER,19950504.0,211.0,4299.0,1.0,EPS,0.0367,19950502.0,19950823.0,19950930,19951018.0,0.0301
